OPENING ROUND,,,,
Heat 1,Igor Moraes,BRA,8.40,ELIMINATED
Heat 1,Dakoda Walters,AUS,13.07,ADV
Heat 1,Mihimana Braye,PYF,11.44,ADV
Heat 1,Dom Thomas,AUS,11.27,ELIMINATED
Heat 2,Luke Swanson,HAW,9.50,ELIMINATED
Heat 2,Tenshi Iwami,JPN,10.03,ELIMINATED
Heat 2,Lennix Smith,AUS,11.34,ADV
Heat 2,Caleb Tancred,AUS,14.07,ADV
Heat 3,Dylan Moffat,AUS,9.27,ADV
Heat 3,Daiki Tanaka,JPN,7.96,ELIMINATED
Heat 3,Rylan Beavers,HAW,9.00,ELIMINATED
Heat 3,Eden Hasson,AUS,9.37,ADV
Heat 4,Maxime Huscenot,FRA,7.57,ELIMINATED
Heat 4,Alister Reginato,AUS,13.84,ADV
Heat 4,Taj Stokes,AUS,8.86,ELIMINATED
Heat 4,Willem Watson,AUS,10.40,ADV
Heat 5,Jarvis Earle,AUS,7.20,ELIMINATED
Heat 5,Julian Wilson,AUS,7.84,ELIMINATED
Heat 5,Makana Franzmann,HAW,10.06,ADV
Heat 5,Ocean Lancaster,AUS,11.17,ADV
Heat 6,Joh Azuchi,JPN,9.70,ELIMINATED
Heat 6,Rafael Teixeira,BRA,10.34,ADV
Heat 6,Reef Heazlewood,AUS,14.50,ADV
Heat 6,Harley Walters,AUS,6.17,ELIMINATED
Heat 7,Luke Tema,HAW,8.10,ELIMINATED
Heat 7,Jose Francisco,BRA,8.83,ADV
Heat 7,Slade Prestwich,ZAF,8.17,ADV
Heat 7,Oliver Ryssenbeek,AUS,5.04,ELIMINATED
Heat 8,Justin Becret,FRA,7.70,ELIMINATED
Heat 8,Tully Wylie,AUS,5.20,ELIMINATED
Heat 8,Hayden Rodgers,USA,14.23,ADV
Heat 8,Ben Lorentson,AUS,12.03,ADV
